"customer_name","city_name","average_spending"
"Kiara Reddy","Ahmedabad","884"
"Vihaan Mehta","Hyderabad","881.25"
"Vihaan Kumar","Surat","873.5294117647059"
"Aditya Patel","Jaipur","838.8"
"Rudra Gupta","Surat","830"
"Krishna Singh","Lucknow","820"
"Riya Malhotra","Kolkata","795.7142857142857"
"Krishna Raghavan","Lucknow","778.5714285714286"
"Saanvi Pandey","Kolkata","771.4285714285714"
"Mira Malhotra","Indore","769.2307692307693"
"Vivaan Nair","Surat","768.8888888888889"
"Isha Mishra","Delhi","765.7142857142857"
"Vihaan Sinha","Kanpur","760"
"Kiara Singh","Kanpur","756"
"Krishna Malhotra","Jaipur","750.6666666666666"
"Shaurya Joshi","Ahmedabad","750"
"Aryan Mehta","Delhi","748.5714285714286"
"Kiara Gupta","Mumbai","748.125"
"Vivaan Mishra","Indore","747"
"Shaurya Rao","Kolkata","747"
"Arjun Desai","Jaipur","742.5"
"Shaurya Kapoor","Hyderabad","741.1111111111111"
"Riya Sharma","Ahmedabad","740.9090909090909"
"Riya Chopra","Indore","738.8888888888889"
"Shaurya Patel","Hyderabad","737.5"
"Aditi Singh","Delhi","735.3846153846154"
"Navya Gupta","Ahmedabad","728.8888888888889"
"Vivaan Chopra","Delhi","727.2222222222222"
"Aarav Sharma","Indore","724.5454545454545"
"Krishna Malhotra","Delhi","722.2222222222222"
"Arjun Mehta","Pune","718.6486486486486"
"Rudra Shukla","Surat","717.5"
"Aditi Sinha","Chennai","713.9024390243902"
"Riya Shukla","Jaipur","713.3333333333334"
"Vihaan Agarwal","Hyderabad","711.3333333333334"
"Amaya Singh","Nagpur","710"
"Dhruv Mishra","Jaipur","705.7142857142857"
"Navya Verma","Hyderabad","705.3846153846154"
"Krishna Reddy","Jaipur","700"
"Aryan Patel","Bangalore","698.9473684210526"
"Vihaan Joshi","Nagpur","696.9230769230769"
"Devansh Mehta","Kanpur","696.6666666666666"
"Mira Shukla","Ahmedabad","696.25"
"Kiara Patel","Ahmedabad","691.6666666666666"
"Kiara Shukla","Mumbai","691.6666666666666"
"Krishna Joshi","Nagpur","690"
"Vivaan Sharma","Kolkata","687.5"
"Ananya Kapoor","Pune","686.8888888888889"
"Shaurya Reddy","Kolkata","686.3636363636364"
"Aditya Agarwal","Chennai","684.6666666666666"
"Ananya Chopra","Chennai","683.75"
"Navya Rao","Jaipur","683.6842105263158"
"Navya Kapoor","Nagpur","683.3333333333334"
"Navya Nair","Indore","681.25"
"Isha Chopra","Chennai","680"
"Isha Sinha","Delhi","679.1666666666666"
"Aditi Malhotra","Chennai","677.5"
"Samir Nair","Lucknow","677.2727272727273"
"Arjun Kumar","Pune","675.8536585365854"
"Isha Mehta","Jaipur","674.6153846153846"
"Saanvi Mehta","Indore","673.0769230769231"
"Navya Nair","Kanpur","672.8571428571429"
"Aditya Rao","Jaipur","672.1052631578947"
"Mira Chopra","Pune","671.8604651162791"
"Kiara Sinha","Delhi","671.3333333333334"
"Isha Shukla","Bangalore","670.7692307692307"
"Vivaan Kumar","Lucknow","668.75"
"Dhruv Rao","Jaipur","668.2608695652174"
"Arjun Malhotra","Bangalore","666.8571428571429"
"Aarav Kumar","Jaipur","666.6666666666666"
"Isha Nair","Pune","666.1224489795918"
"Arjun Kapoor","Pune","665.7142857142857"
"Saanvi Kapoor","Surat","665"
"Ishita Singh","Kolkata","663.6363636363636"
"Arjun Nair","Jaipur","663.3333333333334"
"Aryan Agarwal","Jaipur","662.7272727272727"
"Aditya Joshi","Delhi","660"
"Shruti Chatterjee","Hyderabad","658.3333333333334"
"Riya Nair","Ahmedabad","657.7777777777778"
"Mira Verma","Jaipur","657.5"
"Isha Rao","Bangalore","657.3333333333334"
"Navya Singh","Kolkata","657.1428571428571"
"Dhruv Desai","Jaipur","656.25"
"Aarav Verma","Chennai","655"
"Navya Chopra","Surat","654.1666666666666"
"Riya Agarwal","Delhi","653.8888888888889"
"Dhruv Singh","Bangalore","653.5294117647059"
"Ishita Sinha","Kanpur","653.0769230769231"
"Shaurya Shukla","Kanpur","651.8181818181819"
"Shaurya Desai","Kanpur","651.5384615384615"
"Shaurya Sharma","Kolkata","651.3333333333334"
"Diya Desai","Bangalore","651.304347826087"
"Ananya Nair","Delhi","651.1111111111111"
"Aryan Chopra","Jaipur","650.9090909090909"
"Krishna Patel","Jaipur","650.5263157894736"
"Saanvi Rao","Mumbai","650"
"Saanvi Gupta","Kolkata","650"
"Ayaan Patel","Pune","649.2307692307693"
"Ananya Desai","Chennai","649"
"Diya Chopra","Pune","648.7878787878788"
"Vivaan Shukla","Delhi","648.421052631579"
"Rudra Agarwal","Jaipur","648"
"Vivaan Singh","Pune","646.7441860465116"
"Isha Agarwal","Chennai","646.4285714285714"
"Mira Nair","Pune","645.8823529411765"
"Vihaan Chopra","Lucknow","645"
"Kiara Nair","Kolkata","644.4444444444445"
"Mira Sharma","Pune","644.2"
