"full_name","country","total_purchase"
"Diego Gutiérrez","Argentina","39.6"
"Mark Taylor","Australia","81.18"
"Astrid Gruber","Austria","69.3"
"Daan Peeters","Belgium","60.38999999999999"
"Luís Gonçalves","Brazil","108.89999999999998"
"François Tremblay","Canada","99.99"
"Luis Rojas","Chile","97.02000000000001"
"R Madhav","Czech Republic","144.54000000000002"
"Kara Nielsen","Denmark","37.61999999999999"
"Terhi Hämäläinen","Finland","79.2"
"Wyatt Girard","France","99.99"
"Fynn Zimmermann","Germany","94.05000000000001"
"Ladislav Kovács","Hungary","78.21"
"Manoj Pareek","India","111.86999999999999"
"Hugh O'Reilly","Ireland","114.83999999999997"
"Lucas Mancini","Italy","50.49"
"Johannes Van der Berg","Netherlands","65.34"
"Bjørn Hansen","Norway","72.27000000000001"
"Stanisław Wójcik","Poland","76.22999999999999"
"João Fernandes","Portugal","102.96000000000001"
"Enrique Muñoz","Spain","98.01"
"Joakim Johansson","Sweden","75.24"
"Phil Hughes","United Kingdom","98.01"
"Jack Smith","USA","98.01"
