customer_name,artist_name,total_bill
Hugh                                               O'Reilly                                          ,Queen,27.72
Wyatt                                              Girard                                            ,Frank Sinatra,23.76
Robert                                             Brown                                             ,Creedence Clearwater Revival,19.8
Aaron                                              Mitchell                                          ,James Brown,19.8
R                                                  Madhav                                            ,Kiss,19.8
François                                           Tremblay                                          ,The Who,19.8
Helena                                             Holý                                              ,Red Hot Chili Peppers,19.8
Heather                                            Leacock                                           ,House Of Pain,18.81
Niklas                                             Schröder                                          ,Queen,18.81
Hugh                                               O'Reilly                                          ,Nirvana,18.81
Mark                                               Taylor                                            ,The Clash,17.82
Camille                                            Bernard                                           ,Marisa Monte,17.82
R                                                  Madhav                                            ,Eric Clapton,17.82
Richard                                            Cunningham                                        ,Marvin Gaye,17.82
François                                           Tremblay                                          ,Queen,17.82
Hugh                                               O'Reilly                                          ,Marisa Monte,17.82
Ladislav                                           Kovács                                            ,The Cult,17.82
Luís                                               Gonçalves                                         ,The Cult,17.82
Dan                                                Miller                                            ,Eric Clapton,17.82
Steve                                              Murray                                            ,AC/DC,17.82
Frank                                              Harris                                            ,Van Halen,16.83
Enrique                                            Muñoz                                             ,Jimi Hendrix,16.83
Fynn                                               Zimmermann                                        ,Jimi Hendrix,16.83
Roberto                                            Almeida                                           ,Jimi Hendrix,16.83
Helena                                             Holý                                              ,Jimi Hendrix,16.83
Patrick                                            Gray                                              ,Nirvana,16.83
François                                           Tremblay                                          ,Jimi Hendrix,16.83
Julia                                              Barnett                                           ,Jimi Hendrix,16.83
Joakim                                             Johansson                                         ,Soundgarden,16.83
Manoj                                              Pareek                                            ,Jimi Hendrix,16.83
João                                               Fernandes                                         ,Jimi Hendrix,16.83
João                                               Fernandes                                         ,Queen,16.83
Manoj                                              Pareek                                            ,O Rappa,16.83
Fynn                                               Zimmermann                                        ,Kiss,15.84
Victor                                             Stevens                                           ,Pearl Jam,15.84
Lucas                                              Mancini                                           ,The Rolling Stones,15.84
Emma                                               Jones                                             ,Red Hot Chili Peppers,15.84
Fernanda                                           Ramos                                             ,Red Hot Chili Peppers,15.84
